choice,value,subject,trial,rt,fixations,fix_times
3,"[4.0, 2.0, 3.0]",21,13,8186,"[1, 3, 2, 1, 3, 1, 3, 2, 3, 2, 3]","[358, 777, 338, 559, 399, 358, 258, 1913, 1096, 299, 938]"
1,"[8.0, 6.0, 3.0]",16,73,14185,"[1, 3, 2, 1, 3, 2, 1]","[2553, 516, 460, 8750, 458, 420, 518]"
3,"[1.0, 3.0, 7.0]",1,89,788,"[2, 3]","[119, 418]"
2,"[6.0, 5.0, 8.0]",16,67,11982,"[1, 3, 2, 3, 1, 2, 3, 1, 2, 1, 2]","[558, 837, 1773, 658, 1118, 2811, 1036, 379, 279, 1435, 399]"
1,"[4.0, 1.0, 3.0]",10,85,1751,"[2, 1, 3, 1]","[339, 618, 278, 100]"
2,"[1.0, 7.0, 3.0]",1,22,1084,"[2, 3, 1, 2]","[159, 219, 249, 158]"
2,"[5.0, 9.0, 6.0]",24,31,2510,"[2, 3, 1, 2, 3, 2]","[437, 200, 418, 516, 239, 300]"
3,"[2.0, 1.0, 3.0]",6,41,1972,"[2, 1, 3]","[438, 257, 898]"
1,"[7.0, 1.0, 5.0]",19,26,721,"[3, 1]","[158, 259]"
2,"[4.0, 3.0, 2.0]",13,65,2624,"[2, 3, 1, 2, 1, 3, 2]","[537, 240, 238, 161, 257, 240, 339]"
3,"[3.0, 4.0, 6.0]",28,39,6250,"[1, 3, 2, 1, 3, 1, 2, 3, 2, 3, 1]","[377, 417, 478, 160, 599, 378, 695, 439, 679, 879, 160]"
3,"[3.0, 6.0, 5.0]",16,66,9105,"[2, 3, 1, 3, 2, 3, 2, 1, 3]","[418, 439, 1635, 1416, 2093, 1574, 458, 319, 179]"
2,"[7.0, 5.0, 3.0]",25,17,10275,"[2, 1, 2, 3, 2, 1, 2, 3, 2, 3, 2]","[518, 456, 458, 1075, 559, 2292, 678, 1216, 1515, 797, 139]"
2,"[6.0, 10.0, 7.0]",26,97,796,[2],[577]
3,"[2.0, 5.0, 10.0]",13,88,2001,"[1, 3, 2, 1, 3]","[179, 578, 299, 419, 62]"
1,"[10.0, 8.0, 2.0]",22,55,1039,"[1, 3]","[418, 320]"
2,"[4.0, 1.0, 7.0]",25,50,3902,"[2, 1, 3, 2, 1, 2]","[598, 359, 458, 541, 618, 916]"
2,"[3.0, 4.0, 5.0]",3,13,2511,"[2, 1, 3, 2]","[337, 459, 518, 817]"
1,"[4.0, 2.0, 3.0]",17,32,2154,"[1, 3, 2, 1, 3]","[39, 239, 439, 332, 140]"
2,"[3.0, 6.0, 2.0]",6,3,3624,"[2, 1, 3, 2, 3, 2]","[198, 359, 278, 1276, 478, 499]"
1,"[3.0, 5.0, 2.0]",2,40,2004,"[1, 3, 2, 1]","[319, 418, 379, 458]"
3,"[4.0, 2.0, 10.0]",17,81,720,[3],[400]
3,"[4.0, 2.0, 5.0]",12,15,1002,"[2, 3, 1, 3]","[139, 176, 200, 60]"
3,"[3.0, 4.0, 8.0]",9,83,961,"[3, 1]","[299, 201]"
3,"[1.0, 2.0, 4.0]",19,86,1161,"[3, 1, 2]","[338, 381, 101]"
2,"[7.0, 8.0, 2.0]",26,12,2357,"[2, 3, 1, 2]","[239, 298, 338, 1137]"
3,"[8.0, 1.0, 4.0]",11,19,2105,"[2, 1, 3, 1, 2]","[159, 120, 379, 379, 438]"
2,"[2.0, 6.0, 4.0]",2,14,1741,"[2, 1, 2, 3, 1]","[199, 338, 358, 359, 79]"
1,"[9.0, 6.0, 3.0]",22,49,1402,"[2, 1, 3, 2]","[179, 338, 259, 181]"
1,"[5.0, 3.0, 2.0]",2,65,2449,"[2, 1, 2, 1, 3, 2]","[199, 258, 279, 558, 259, 459]"
